"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"录音原文时，离线，会后总结默认离线模式","60726","录音原文时，离线，会后总结默认离线模式","a3testcases.test_zA3_recording_functions","Fri Jul 04 17:49:48 CST 2025","passed","Fri Jul 04 17:50:49 CST 2025","","test_zA3_recording_functions","",""
"普通话语言转写时切换成离线模式，英文转写时切换成离线模式，中英混合语言转写时，切换成离线，非普通话、英文、中英混合 转写时切换成离线模式","103660","普通话语言转写时切换成离线模式，英文转写时切换成离线模式，中英混合语言转写时，切换成离线，非普通话、英文、中英混合 转写时切换成离线模式","a3testcases.test_a3_aarecording_mode.air","Fri Jul 04 17:38:36 CST 2025","passed","Fri Jul 04 17:40:20 CST 2025","","test_a3_aarecording_mode","",""
"音色默认是超自然女声思凝","31762","音色默认是超自然女声思凝","a3testcases.test_a3_ai_helper.air","Fri Jul 04 17:41:35 CST 2025","passed","Fri Jul 04 17:42:07 CST 2025","","test_a3_ai_helper","",""
"正在录音转写时长按AI助手仍可唤醒","0","正在录音转写时长按AI助手仍可唤醒","a3testcases.test_a3_ai_button.air","Fri Jul 04 17:41:01 CST 2025","skipped","Fri Jul 04 17:41:01 CST 2025","","test_a3_ai_button","",""
"录音原文转写，默认转写方式是默认在线，切换至离线录音模式事弹出二次确认弹窗","61438","录音原文转写，默认转写方式是默认在线，切换至离线录音模式事弹出二次确认弹窗","a3testcases.test_a3_aarecording_mode.air","Fri Jul 04 17:36:09 CST 2025","passed","Fri Jul 04 17:37:10 CST 2025","","test_a3_aarecording_mode","",""
"便签文件夹输入框校验","0","便签文件夹输入框校验","a3testcases.test_a3_memo.air","Fri Jul 04 17:49:48 CST 2025","skipped","Fri Jul 04 17:49:48 CST 2025","","test_a3_memo","",""
"全局搜索中笔记标签下可以搜到和看到便签,在笔记tab搜索结果中点击便签打开便签详情,AI搜索中可以看到便签，便签在ai搜索结果中按笔记展示","0","全局搜索中笔记标签下可以搜到和看到便签,在笔记tab搜索结果中点击便签打开便签详情,AI搜索中可以看到便签，便签在ai搜索结果中按笔记展示","a3testcases.test_a3_memo.air","Fri Jul 04 17:49:48 CST 2025","skipped","Fri Jul 04 17:49:48 CST 2025","","test_a3_memo","",""
"搜索常用关键词","30218","搜索常用关键词","a3testcases.test_a3_ai_helper.air","Fri Jul 04 17:42:44 CST 2025","passed","Fri Jul 04 17:43:14 CST 2025","","test_a3_ai_helper","",""
"无网络时启动离线录音,切换在线模式,切换离线模式，中英混合语言转写时，切换成","86236","无网络时启动离线录音,切换在线模式,切换离线模式，中英混合语言转写时，切换成","a3testcases.test_a3_aarecording_mode.air","Fri Jul 04 17:37:10 CST 2025","passed","Fri Jul 04 17:38:36 CST 2025","","test_a3_aarecording_mode","",""
"验证长按AI键1秒以上正常唤醒AI助手,验证密码锁屏下长按无响应","0","验证长按AI键1秒以上正常唤醒AI助手,验证密码锁屏下长按无响应","a3testcases.test_a3_ai_button.air","Fri Jul 04 17:41:01 CST 2025","skipped","Fri Jul 04 17:41:01 CST 2025","","test_a3_ai_button","",""
"网络正常时，可正常切换会后总结中的转写模型,未联网时，切换转写模型，提示无网，总结失败","21743","网络正常时，可正常切换会后总结中的转写模型,未联网时，切换转写模型，提示无网，总结失败","a3testcases.test_zA3_recording_functions","Fri Jul 04 17:51:19 CST 2025","passed","Fri Jul 04 17:51:41 CST 2025","","test_zA3_recording_functions","",""
"未打开笔记录音，正常状态下双击AI按键进行录音,已有笔记录音，双击ai按键","0","未打开笔记录音，正常状态下双击AI按键进行录音,已有笔记录音，双击ai按键","a3testcases.test_a3_ai_button.air","Fri Jul 04 17:41:01 CST 2025","skipped","Fri Jul 04 17:41:01 CST 2025","","test_a3_ai_button","",""
"实时录音是在线模式时，会后总结默认模型是智能模型dfmpro","30547","实时录音是在线模式时，会后总结默认模型是智能模型dfmpro","a3testcases.test_zA3_recording_functions","Fri Jul 04 17:50:49 CST 2025","passed","Fri Jul 04 17:51:19 CST 2025","","test_zA3_recording_functions","",""
"精转前后查看录音原文tap页自动分析说话人展示，关闭说话人1的分析结果再重新生成","66740","精转前后查看录音原文tap页自动分析说话人展示，关闭说话人1的分析结果再重新生成","a3testcases.test_zA3_recording_functions","Fri Jul 04 17:51:41 CST 2025","passed","Fri Jul 04 17:52:48 CST 2025","","test_zA3_recording_functions","",""
"AI笔记问答，获取有便签相关信息的话，可将信息自动添加到便签","26578","AI笔记问答，获取有便签相关信息的话，可将信息自动添加到便签","a3testcases.test_a3_ai_helper.air","Fri Jul 04 17:43:41 CST 2025","passed","Fri Jul 04 17:44:07 CST 2025","","test_a3_ai_helper","",""
"TTS功能默认开启,TTS开关开启时，问答时，实时播报,语音播报中途关闭TTS","37588","TTS功能默认开启,TTS开关开启时，问答时，实时播报,语音播报中途关闭TTS","a3testcases.test_a3_ai_helper.air","Fri Jul 04 17:42:07 CST 2025","passed","Fri Jul 04 17:42:44 CST 2025","","test_a3_ai_helper","",""
"成功添加待办事项","26166","成功添加待办事项","a3testcases.test_a3_ai_helper.air","Fri Jul 04 17:43:14 CST 2025","passed","Fri Jul 04 17:43:41 CST 2025","","test_a3_ai_helper","",""
